Equivalence_Class,Terms
administration,administration
american Energy,american energy
American Health Care Act,American Health Care Act
American Health Care Act,AHCA
American Health Care Act,Afordable Care Act
American Health Care Act,Obama Care
American Health Care Act,Health Care Initiative
American Health Care Act,obamacare
bank,bank
bankruptcy,bankruptcy
barack Obama,obama era
barack Obama,obama era
barack Obama,barack Obama
bill,bill
border,U.S. Mexico Border
border,border
bridge,bridge
budget cuts,budget cuts
budget cuts,cuts
budget cuts,budget proposal
business,business
campaign,campaign
certain Middle-Eastern countries,certain Middle-Eastern countries
certain Middle-Eastern countries,Syria
certain Middle-Eastern countries,Yemen
certain Middle-Eastern countries,Somalia
certain Middle-Eastern countries,Iran
certain Middle-Eastern countries,Sudan
certain Middle-Eastern countries,Libya
christopher steele,christopher steele
clean energy,clean energy
clean energy,green energy
clean energy,renewable energy
climate change,climate
climate change,climate change
coal miners,coal miners
congress,congress
conservative,conservative
construction,construction
Consumer Permission,Consumer Rights
cost,cost
deductibles,deductibles
democracy,democracy
democrat,democrat
democratic Party,democratic party
Department of Homeland Security,DHS
Department of Homeland Security,Department of Homeland Security
domesticSecurity,domestic security
domesticSecurity,FBI
domesticSecurity,Defense Department
domesticSecurity,Department of Homeland Security
economy,united states economy
economy,national economy
economy,economy
election,election
emergency stay,emergency stay
emergency stay,nationwide stay
emergency stay,temporary restraining order
energy,energy
environment,environmental
environment,environment
environmental regulation,environmental regulation
environmental regulation,Natural Resources Law
environmental regulation,Environmental Law
EPA,EPA
EPA,Clean Power Plan
EPA,Environmental Protection Agency
EPA,environmental policy
executive order,executive order
executive order,order
FCC,FCC
FCC,Federal Communications Commission
foreign country,foreign country
foreignAid,foreign aid
Freedom Caucus,freedom caucus
Gerrymander,gerrymander
government,government
hack,hack
Healthcare,Healthcare
Healthcare,Healthcare Initiative
hillary Clinton,hilary clinton
hiring freeze,hiring freeze
House of Representatives,house of representatives
house Republican,house Republican
house Republican,GOP
immigrant,immigrant
immigration,immigration
intelligence Agency,intelligence agency
Internet History,Internet History
Internet History,search history
Internet History,web browsing history
Internet User,User
Internet User,Consumer
Internet User,Customer
Internet User,Internet User
ISP,ISP
ISP,Provider
ISP,Internet Service Provider
ISP,Comcast
Japan,japan
jobs,jobs
jobs,job
keystone Pipeline,keystone pipeline
kremlin election involvement,kremlin election involvement
lawful restriction,lawful restriction
lawmaker,lawmake
leader,leader
legislation,legislation
media,media
mexico,mexico
mickhail kulagin,mickhail kulagin
Military action,military action
Missile,missicle
money,money
moscow,moscow
Navarro,navarro
North Korea,north korea
nuclear testing,nuclear testing
Paris Accord,Paris Climate Agreement
Paris Accord,Paris Accord
party,party
power,power
premiums,premiums
presidency,presidency
president,president
president,donald trump
president,trump
president Elect,president elect
public safety,threat
public safety,public safety
reform,reform
refugees,refugees
regulation,regulation
regulation,policy
regulation,policies
repeal and replace,repeal and replace
republican,republican
republican Lawmakers,replican lawmakers
republican Leaders,republican leaders
restriction,restriction
Rex Tillerson,rex tillerson
russia,russia
russian,russian
Ryan,ryan
sanction,sanction
secretary,secretary
Sensitive Information,sensitive information
Small business Community,all 11 executives
Small business Community,small city executive
Small business Community,owner automotive parts assembler
Small business Community,president local car dealership
Small business Community,small business owner
Small business Community,head of seating manufacturer
Small business Community,small business community
Small business Community,trucking company president
Small business confidence,Small business confidence
Small business confidence,tremendous dark cloud lifting
Small business confidence,exuberance
Small business confidence,bull
Small business confidence,confidence
Small business confidence,eurphoria
Small business confidence,gut just feels better
Small business confidence,confident
Small business confidence index,Small business confidence index
Small business confidence index,indicator
Small business confidence index,gauge
Small business confidence index,huge spike
South Korea,tax break
taxBreak,low tax
taxBreak,tax break
taxBreak,tax overhaul
terrorist,terrorist
threats,threats
trade deficit,trade deficit
trading partners,trading partners
trans Pacific Partnership,trans pacific partnership
transition Staff,transition staff
travelåÊ,travel
Travel ban,travel ban
tweet,tweet
twitter,twitter
U.S. Mexico border,U.S. Mexico border
uncertainty,uncertainty
United States,United States
United States,Our Country
United States,America
vladimirPutin,vladimir putin
vote,vote
voter,voter
VPN,VPN
VPN,Virtual Private Network
wall,wall
wall,fence
wall,border wall
war,war
washington,washington
whiteHouse,white house
whiteHouse,Trump Administration
work,work
SupremeCourt,supreme court
filibuster,filibuster
gorsuch,gorsuch
senateRule,senate
senateRule,senate rule
confirmationHearings,confirmation hearings
FreeTrade,free trae
Protectionism,protectionism
tariff,tariff
