Word_Count	EC	Term
1	administration	administration
3	administration	administration tuesday night
2	americanEnergy	american energy
3	americanEnergy	american energy production
4	AmericanHealthCareAct	american health care act
1	AmericanHealthCareAct	ahca
3	AmericanHealthCareAct	affordable care act
2	AmericanHealthCareAct	obama care
3	AmericanHealthCareAct	health care initiative
1	AmericanHealthCareAct	obamacare
1	bankruptcy	bankruptcy
1	barackObama	obama
2	barackObama	obama era
2	barackObama	barack obama
3	barackObama	president barack obama
2	barackObama	president obama
2	barackObama	president trump
1	bill	bill
2	bill	bill funding
1	bill	bills
3	border	u.s. mexico border
1	border	border
1	border	borders
1	bridge	bridge
1	bridge	bridges
2	budgetCuts	budget cuts
1	budgetCuts	cuts
2	budgetCuts	budget proposal
1	business	business
1	business	businesses
1	campaign	campaign
3	certainMiddle-Easterncountries	certain middle-eastern countries
1	certainMiddle-Easterncountries	syria
1	certainMiddle-Easterncountries	yemen
1	certainMiddle-Easterncountries	somalia
1	certainMiddle-Easterncountries	iran
1	certainMiddle-Easterncountries	sudan
1	certainMiddle-Easterncountries	libya
2	russia	christopher steele
2	cleanEnergy	clean energy
2	cleanEnergy	green energy
2	cleanEnergy	renewable energy
1	climateChange	climate
2	climateChange	climate change
2	climateChange	global warming
2	coalMiners	coal miners
2	confirmationHearings	confirmation hearings
1	congress	congress
2	congress	support congress
1	houseRepublican	conservative
1	houseRepublican	conservatives
1	construction	construction
2	ConsumerPermission	consumer rights
2	ConsumerPermission	consumer permission
1	cost	cost
1	cost	costs
1	cost	expenses
1	cost	price
2	cost	price tag
1	deductibles	deductibles
1	democracy	democracy
1	democraticParty	democrat
1	democraticParty	democrats
2	democraticParty	democrats intent
2	democraticParty	democratic party
1	DepartmentofHomelandSecurity	dhs
4	DepartmentofHomelandSecurity	department of homeland security
2	domesticSecurity	domestic security
1	domesticSecurity	fbi
2	domesticSecurity	defense department
4	domesticSecurity	department of homeland security
3	economy	united states economy
2	economy	national economy
1	economy	economy
1	economy	economies
1	election	election
1	election	elections
2	emergencyStay	emergency stay
2	emergencyStay	nationwide stay
3	emergencyStay	temporary restraining order
1	energy	energy
1	environment	environmental
1	environment	environment
2	environmentalRegulation	environmental regulation
3	environmentalRegulation	natural resources law
2	environmentalRegulation	environmental law
1	EPA	epa
3	EPA	clean power plan
3	EPA	environmental protection agency
2	EPA	environmental policy
2	executiveOrder	executive order
1	executiveOrder	order
2	executiveOrder	executive orders
1	FCC	fcc
3	FCC	federal communications commission
1	filibuster	filibuster
2	foreignAid	foreign aid
2	foreignCountry	foreign country
2	FreedomCaucus	freedom caucus
2	freeTrade	free trade
1	Gerrymander	gerrymander
1	supremeCourt	gorsuch
1	government	government
2	government	government should
1	government	governments
1	hack	hack
1	hack	hacks
1	Healthcare	healthcare
2	Healthcare	healthcare initiative
2	healthcare	health care
2	hillaryClinton	hillary clinton
3	hillaryClinton	candidate hillary clinton
1	hillaryClinton	clinton-concept
3	hillaryClinton	nominee hillary clinton
1	hillaryClinton	clinton
2	hiringFreeze	hiring freeze
3	HouseofRepresentatives	house of representatives
2	HouseofRepresentatives	the house
2	HouseofRepresentatives	u.s. house
2	houseRepublican	house republican
1	houseRepublican	gop
2	houseRepublican	house gop
2	houseRepublican	house republicans
1	immigrant	immigrant
1	immigrant	aliens
1	immigrant	immigrants
1	immigration	immigration
2	intelligenceAgency	intelligence agency
2	intelligenceAgency	intelligence agencies
2	InternetHistory	internet history
2	InternetHistory	search history
3	InternetHistory	web browsing history
1	InternetUser	user
1	InternetUser	consumer
1	InternetUser	customer
2	InternetUser	internet user
1	ISP	isp
1	ISP	provider
3	ISP	internet service provider
1	ISP	comcast
1	China	china
1	Japan	japan
1	jobs	jobs
1	jobs	job
2	keystonePipeline	keystone pipeline
3	keystonePipeline	keystone xl pipeline
3	kremlinElectionInvolvement	kremlin election involvement
2	lawfulRestriction	lawful restriction
1	lawmaker	lawmake
1	lawmaker	lawmakers
2	lawmaker	profile lawmakers
1	leader	leader
1	leader	leaders
1	legislation	legislation
1	media	media
1	mexico	mexico
2	mexico	country mexico
2	mexico	force mexico
2	mikhailKulagin	mikhail kulagin
2	militaryAction	military action
1	Missile	missile
1	missile	missiles
1	money	money
2	money	block money
1	money	funding
2	money	funding package
1	money	funds
2	money	spread money
1	moscow	moscow
1	Navarro	navarro
2	northKorea	north korea
2	nuclearTesting	nuclear testing
3	parisAccord	paris climate agreement
2	parisAccord	paris accord
2	parisAccord	paris agreement
3	parisAccord	paris climate-change commitments
2	parisAccord	paris deal
2	parisAccord	paris pledges
1	party	party
1	party	parties
1	healthcare	premiums
1	president	presidency
1	president	president
2	president	donald trump
1	president	trump
1	president	pres
1	president	presidents
2	president	presidents face
2	presidentElect	president elect
1	presidentElect	president-elect
2	presidentElect	president-elect plans
2	presidentElect	republican president-elect
1	presidentElect	soon-to-be-president
1	protectionism	protectionism
1	publicSafety	threat
2	publicSafety	public safety
1	reform	reform
1	refugees	refugees
1	regulation	regulation
1	regulation	policy
1	regulation	policies
2	regulation	finalized regulations
1	regulation	regulations
3	repealAndReplace	repeal and replace
1	republican	republican
2	republican	fellow republicans
1	republican	republicans
2	republicanLawmakers	replican lawmakers
2	republicanLawmakers	gop lawmakers
2	republicanLawmakers	republican lawmakers
2	republicanLeaders	republican leaders
1	restriction	restriction
1	restriction	restrictions
2	RexTillerson	rex tillerson
1	russia	russia
2	russia	evidence russia
2	russia	russia wasn
1	russian	russian
1	russian	russians
1	Ryan	ryan
1	sanction	sanction
2	sanction	friday sanctions
1	sanction	sanctions
1	secretary	secretary
1	senateRule	senate
2	senateRule	senate rule
2	SensitiveInformation	sensitive information
3	smallBusinessCommunity	small city executive
3	smallBusinessCommunity	small business owner
3	smallBusinessCommunity	small business community
3	smallBusinessConfidence	small business confidence
1	smallBusinessConfidence	confidence
1	smallBusinessConfidence	confident
4	smallBusinessConfidenceIndex	small business confidence index
2	supremeCourt	supreme court
1	tariff	tariff
1	tariff	tariffs
2	taxBreak	low tax
2	taxBreak	tax break
2	taxBreak	tax overhaul
2	taxBreak	tax breaks
1	terrorist	terrorist
1	terrorist	terrorists
1	threats	threats
1	tradeDeficit	trade
2	tradeDeficit	trade deficit
2	tradingPartners	trading partners
2	transitionStaff	transition staff
2	transitionStaff	transition team
2	transitionStaff	trump transition
3	transitionStaff	trump transition team
3	transPacificPartnership	trans pacific partnership
1	transPacificPartnership	tpp
2	transPacificPartnership	trans-pacific partnership
3	transPacificPartnership	trans-pacific partnership negotiations
1	Travelban	travel
2	Travelban	travel ban
1	tweet	tweet
3	tweet	tweet friday morning
1	tweet	tweeted
2	tweet	tweeted praise
2	tweet	twitter post
1	twitter	twitter
3	U.S.Mexicoborder	u.s. mexico border
1	uncertainty	uncertainty
2	unitedStates	united states
2	unitedStates	our country
1	unitedStates	america
2	unitedStates	america great
3	unitedStates	united states exits
2	vladimirPutin	vladimir putin
2	vladimirPutin	mr putin
1	vladimirPutin	putin
1	vote	vote
1	vote	votes
1	voter	voter
2	voter	american voter
2	voter	elections voters
1	voter	voters
1	VPN	vpn
3	VPN	virtual private network
1	wall	wall
1	wall	fence
2	wall	border wall
1	wall	barrier
2	wall	great wall
1	wall	walls
1	war	war
1	war	warfare
1	washington	washington
1	washington	dc
2	whiteHouse	white house
