word_count	EC	Term
1	administration	administration
2	americanEnergy	american energy
4	AmericanHealthCareAct	american health care act
1	AmericanHealthCareAct	ahca
3	AmericanHealthCareAct	affordable care act
2	AmericanHealthCareAct	obama care
1	AmericanHealthCareAct	obamacare
1	barackObama	obama
2	barackObama	barack obama
3	barackObama	president barack obama
2	barackObama	president obama
2	president	president trump
1	bill	bill
1	bill	bills
3	border	us mexico border
1	border	border
1	border	borders
2	budgetCuts	budget cuts
1	budgetCuts	cuts
1	business	business
1	business	businesses
1	campaign	campaign
1	middleEasternCountries	syria
1	middleEasternCountries	yemen
1	middleEasternCountries	somalia
1	middleEasternCountries	iran
1	middleEasternCountries	sudan
1	middleEasternCountries	libya
2	russia	christopher steele
1	russia	MI6
2	cleanEnergy	clean energy
2	cleanEnergy	renewable energy
1	climateChange	climate
2	climateChange	climate change
2	climateChange	global warming
2	coalMiners	coal miners
2	confirmationHearings	confirmation hearings
1	congress	congress
1	houseRepublican	conservative
1	houseRepublican	conservatives
1	construction	construction
2	ConsumerPermission	consumer rights
1	cost	cost
1	cost	costs
1	cost	expenses
1	cost	price
2	cost	price tag
1	democracy	democracy
1	democraticParty	democrat
1	democraticParty	democrats
2	democraticParty	democratic party
1	domesticSecurity	dhs
4	domesticSecurity	department of homeland security
1	domesticSecurity	fbi
2	domesticSecurity	defense department
3	economy	united states economy
2	economy	national economy
1	economy	economy
1	economy	economies
1	election	election
1	election	elections
2	emergencyStay	emergency stay
2	emergencyStay	nationwide stay
3	emergencyStay	temporary restraining order
1	energy	energy
1	environment	environmental
1	environment	environment
2	environmentalRegulation	environmental regulation
2	environmentalRegulation	environmental law
1	EPA	epa
3	EPA	clean power plan
3	EPA	environmental protection agency
2	EPA	environmental policy
2	executiveOrder	executive order
1	executiveOrder	order
2	executiveOrder	executive orders
1	FCC	fcc
3	FCC	federal communications commission
1	filibuster	filibuster
2	foreignAid	foreign aid
2	foreignCountry	foreign country
1	freeTrade	NAFTA
1	supremeCourt	gorsuch
1	government	government
1	government	governments
1	hack	hack
1	hack	hacks
1	Healthcare	healthcare
2	healthcare	health care
1	healthcare	healthcare
2	hillaryClinton	hillary clinton
3	hillaryClinton	candidate hillary clinton
1	hillaryClinton	clinton-concept
3	hillaryClinton	nominee hillary clinton
2	hiringFreeze	hiring freeze
2	HouseofRepresentatives	the house
2	HouseofRepresentatives	us house
1	houseRepublican	gop
2	houseRepublican	house gop
2	houseRepublican	house republicans
1	immigrant	immigrant
1	immigrant	aliens
1	immigrant	immigrants
1	immigration	immigration
