word_count	EC_Count	Term_Count	Ontology_Strength	EC_Strength	ontology	EC	Term
1	1	3	1	0.333333333	americanResidents	immigrant	immigrant
1	1	3	1	0.333333333	americanResidents	immigrant	aliens
1	1	3	1	0.333333333	americanResidents	immigrant	immigrants
1	1	4	1	0.25	barackObama	barackObama	obama
2	1	4	1	0.25	barackObama	barackObama	barack obama
3	1	4	1	0.25	barackObama	barackObama	president barack obama
2	1	4	1	0.25	barackObama	barackObama	president obama
1	9	2	0.111111111	0.5	business	business	business
1	9	2	0.111111111	0.5	business	business	businesses
2	9	1	0.111111111	1	business	ConsumerPermission	consumer rights
3	9	3	0.111111111	0.333333333	business	smallBusinessCommunity	small city executive
3	9	3	0.111111111	0.333333333	business	smallBusinessCommunity	small business owner
3	9	3	0.111111111	0.333333333	business	smallBusinessCommunity	small business community
3	9	5	0.111111111	0.2	business	smallBusinessConfidence	small business confidence
1	9	5	0.111111111	0.2	business	smallBusinessConfidence	confidence
1	9	5	0.111111111	0.2	business	smallBusinessConfidence	confident
4	9	1	0.111111111	1	business	smallBusinessConfidenceIndex	small business confidence index
1	9	5	0.111111111	0.2	business	smallBusinessConfidence	business
1	9	6	0.111111111	0.166666667	business	autoManufacturing	factory
1	9	6	0.111111111	0.166666667	business	autoManufacturing	ford
1	9	6	0.111111111	0.166666667	business	autoManufacturing	car
1	9	1	0.111111111	1	business	markFields	fields
1	9	6	0.111111111	0.166666667	business	autoManufacturing	auto
1	9	6	0.111111111	0.166666667	business	autoManufacturing	michigan
1	9	6	0.111111111	0.166666667	business	autoManufacturing	compact
1	5	5	0.2	0.2	nationalSecurity	domesticSecurity	defense
2	8	3	0.125	0.333333333	economy	budgetCuts	budget cuts
1	8	3	0.125	0.333333333	economy	budgetCuts	cuts
2	8	1	0.125	1	economy	coalMiners	coal miners
3	8	4	0.125	0.25	economy	economy	united states economy
2	8	4	0.125	0.25	economy	economy	national economy
1	8	4	0.125	0.25	economy	economy	economy
1	8	4	0.125	0.25	economy	economy	economies
2	8	1	0.125	1	economy	hiringFreeze	hiring freeze
1	8	2	0.125	0.5	economy	jobs	jobs
1	8	2	0.125	0.5	economy	jobs	job
1	8	6	0.125	0.166666667	economy	money	money
2	8	6	0.125	0.166666667	economy	money	block money
1	8	6	0.125	0.166666667	economy	money	funding
2	8	6	0.125	0.166666667	economy	money	funding package
1	8	6	0.125	0.166666667	economy	money	funds
2	8	6	0.125	0.166666667	economy	money	spread money
2	8	3	0.125	0.333333333	economy	taxBreak	tax break
2	8	3	0.125	0.333333333	economy	taxBreak	tax overhaul
2	8	3	0.125	0.333333333	economy	taxBreak	tax breaks
1	8	3	0.125	0.333333333	economy	budgetCuts	budget
1	2	1	0.5	1	election	campaign	campaign
1	2	2	0.5	0.5	election	election	election
1	2	2	0.5	0.5	election	election	elections
2	7	1	0.142857143	1	energy	americanEnergy	american energy
2	7	2	0.142857143	0.5	energy	cleanEnergy	clean energy
2	7	2	0.142857143	0.5	energy	cleanEnergy	renewable energy
1	7	3	0.142857143	0.333333333	energy	climateChange	climate
2	7	3	0.142857143	0.333333333	energy	climateChange	climate change
2	7	3	0.142857143	0.333333333	energy	climateChange	global warming
1	7	1	0.142857143	1	energy	energy	energy
1	7	2	0.142857143	0.5	energy	environment	environmental
1	7	2	0.142857143	0.5	energy	environment	environment
2	7	2	0.142857143	0.5	energy	environmentalRegulation	environmental regulation
2	7	2	0.142857143	0.5	energy	environmentalRegulation	environmental law
2	7	2	0.142857143	0.5	energy	keystonePipeline	keystone pipeline
3	7	2	0.142857143	0.5	energy	keystonePipeline	keystone xl pipeline
1	6	6	0.166666667	0.166666667	foreignAreas	middleEasternCountries	syria
1	6	6	0.166666667	0.166666667	foreignAreas	middleEasternCountries	yemen
1	6	6	0.166666667	0.166666667	foreignAreas	middleEasternCountries	somalia
1	6	6	0.166666667	0.166666667	foreignAreas	middleEasternCountries	iran
1	6	6	0.166666667	0.166666667	foreignAreas	middleEasternCountries	sudan
1	6	6	0.166666667	0.166666667	foreignAreas	middleEasternCountries	libya
2	6	2	0.166666667	0.5	foreignAreas	lawfulRestriction	lawful restriction
2	6	2	0.166666667	0.5	foreignAreas	lawfulRestriction	lawful restrictions
1	6	1	0.166666667	1	foreignAreas	refugees	refugees
