	DSInum	term_freq	word
0	1	0	administration
1	1	0	american energy
2	1	0	bank
3	1	0	barack obama
4	1	0	border
5	1	0	bridge
6	1	0	business
7	1	1	campaign
8	1	0	climate change
9	1	0	congress
10	1	0	conservative
11	1	0	democracy
12	1	0	democrat
13	1	0	democratic party
14	1	0	economy
15	1	0	election
16	1	0	energy
17	1	0	environment
18	1	1	government
19	1	0	hack
20	1	0	hillary clinton
21	1	0	house republican
22	1	1	immigrant
23	1	5	immigration
24	1	0	intelligence agency
25	1	0	keystone pipeline
26	1	0	lawmaker
27	1	0	leader
28	1	0	legislation
29	1	0	media
30	1	0	mexico
31	1	0	money
32	1	0	moscow
33	1	0	obamacare
34	1	0	party
35	1	0	power
36	1	0	presidency
37	1	2	president
38	1	0	president elect
39	1	0	regulation
40	1	0	republican
41	1	0	republican lawmakers
42	1	0	republican leaders
43	1	0	restriction
44	1	0	russia
45	1	0	russian
46	1	0	sanction
47	1	0	secretary
48	1	0	tax break
49	1	0	terrorist
50	1	0	transition staff
51	1	0	transpacifict partnership
52	1	0	tweet
53	1	0	twitter
54	1	0	vladimir putin
55	1	0	vote
56	1	0	voter
57	1	0	wall
58	1	0	war
59	1	0	washington
60	1	0	white house
61	1	0	hiring freeze
62	1	0	job
63	1	0	order
64	1	0	uncertainty
65	1	0	work
66	1	0	freedom caucus
67	1	0	gerrymander
68	1	0	house of representatives
69	1	0	jobs
70	1	0	executive order
71	1	0	internet user
72	1	0	sensitive information
73	1	0	internet history
74	1	0	federal communications commission
75	1	0	virtual private network
76	1	0	consumer permission
77	1	0	coal miners
78	1	0	environmental regulation
79	1	0	Middle-Eastern countries
80	1	0	emergency stay
81	1	0	our country
82	1	1	refugees
83	1	0	travel ban
84	1	0	japan
85	1	0	navarro
86	1	0	trade deficit
87	1	0	trading partners
88	1	0	military action
89	1	0	missile
90	1	0	north korea
91	1	0	nuclear testing
92	1	0	rex tillerson
93	1	0	south korea
94	1	0	threats
95	1	0	christopher steele
96	1	0	fbi
97	1	0	kremlin election involvement
98	1	0	mickhail kulagin
99	1	0	bankruptcy
100	1	0	bill
101	1	0	healthcare
102	1	0	reform
103	1	0	foreign country
104	1	0	lawful resistriction
105	1	0	public safety
106	1	0	travel
107	1	0	united states
108	1	0	american healthcare act
109	1	0	deductibles
110	1	0	premiums
111	1	0	repeal and replace
112	1	0	ryan
113	1	0	construction
114	1	0	cost
115	1	0	department of homeland security
116	1	0	U.S.MexicoBorder
117	1	0	community
118	1	0	small business
119	1	0	small business confidence
120	1	0	affordable care act
121	1	0	regulations
122	1	0	small business community
123	1	0	united states economy
124	1	0	tax overhaul
125	2	0	administration
126	2	0	american energy
127	2	0	bank
128	2	0	barack obama
129	2	0	border
130	2	0	bridge
131	2	0	business
132	2	0	campaign
133	2	0	climate change
134	2	0	congress
135	2	0	conservative
136	2	0	democracy
137	2	0	democrat
138	2	0	democratic party
139	2	0	economy
140	2	0	election
141	2	1	energy
142	2	0	environment
143	2	0	government
144	2	0	hack
145	2	0	hillary clinton
146	2	0	house republican
147	2	0	immigrant
148	2	0	immigration
149	2	0	intelligence agency
150	2	0	keystone pipeline
151	2	0	lawmaker
152	2	0	leader
153	2	0	legislation
154	2	0	media
155	2	0	mexico
156	2	0	money
157	2	1	moscow
158	2	0	obamacare
159	2	0	party
160	2	0	power
161	2	0	presidency
162	2	2	president
163	2	0	president elect
164	2	0	regulation
165	2	1	republican
166	2	0	republican lawmakers
167	2	0	republican leaders
168	2	0	restriction
169	2	3	russia
170	2	1	russian
171	2	0	sanction
172	2	0	secretary
173	2	0	tax break
174	2	0	terrorist
175	2	0	transition staff
176	2	0	transpacifict partnership
177	2	3	tweet
178	2	2	twitter
179	2	0	vladimir putin
180	2	0	vote
181	2	0	voter
182	2	0	wall
183	2	0	war
184	2	0	washington
185	2	0	white house
186	2	0	hiring freeze
187	2	0	job
188	2	0	order
189	2	0	uncertainty
190	2	0	work
191	2	0	freedom caucus
192	2	0	gerrymander
193	2	0	house of representatives
194	2	0	jobs
195	2	0	executive order
196	2	0	internet user
197	2	0	sensitive information
198	2	0	internet history
199	2	0	federal communications commission
200	2	0	virtual private network
201	2	0	consumer permission
202	2	0	coal miners
203	2	0	environmental regulation
204	2	0	Middle-Eastern countries
205	2	0	emergency stay
206	2	0	our country
207	2	0	refugees
208	2	0	travel ban
209	2	0	japan
210	2	0	navarro
211	2	0	trade deficit
212	2	0	trading partners
213	2	0	military action
214	2	1	missile
215	2	0	north korea
216	2	0	nuclear testing
217	2	0	rex tillerson
218	2	0	south korea
219	2	0	threats
220	2	0	christopher steele
221	2	0	fbi
222	2	0	kremlin election involvement
223	2	0	mickhail kulagin
224	2	0	bankruptcy
225	2	0	bill
226	2	0	healthcare
227	2	0	reform
228	2	0	foreign country
229	2	0	lawful resistriction
230	2	0	public safety
231	2	0	travel
232	2	0	united states
233	2	0	american healthcare act
234	2	0	deductibles
235	2	0	premiums
236	2	0	repeal and replace
237	2	0	ryan
238	2	0	construction
239	2	0	cost
240	2	0	department of homeland security
241	2	0	U.S.MexicoBorder
242	2	0	community
243	2	0	small business
244	2	0	small business confidence
245	2	0	affordable care act
246	2	0	regulations
247	2	0	small business community
248	2	0	united states economy
249	2	0	tax overhaul
250	3	1	administration
251	3	0	american energy
252	3	0	bank
253	3	0	barack obama
254	3	0	border
255	3	0	bridge
256	3	0	business
257	3	0	campaign
258	3	0	climate change
259	3	2	congress
260	3	0	conservative
261	3	0	democracy
262	3	0	democrat
263	3	0	democratic party
264	3	0	economy
265	3	0	election
266	3	3	energy
267	3	0	environment
268	3	2	government
269	3	0	hack
270	3	0	hillary clinton
271	3	0	house republican
272	3	0	immigrant
273	3	2	immigration
274	3	0	intelligence agency
275	3	0	keystone pipeline
276	3	0	lawmaker
277	3	0	leader
278	3	0	legislation
279	3	0	media
280	3	1	mexico
281	3	2	money
282	3	0	moscow
283	3	1	obamacare
284	3	0	party
285	3	0	power
286	3	0	presidency
287	3	1	president
288	3	0	president elect
289	3	1	regulation
290	3	0	republican
291	3	0	republican lawmakers
292	3	0	republican leaders
293	3	0	restriction
294	3	0	russia
295	3	0	russian
296	3	0	sanction
297	3	2	secretary
298	3	0	tax break
299	3	0	terrorist
300	3	0	transition staff
301	3	0	transpacifict partnership
302	3	0	tweet
303	3	0	twitter
304	3	0	vladimir putin
305	3	0	vote
306	3	1	voter
307	3	1	wall
308	3	0	war
309	3	2	washington
310	3	0	white house
311	3	0	hiring freeze
312	3	1	job
313	3	2	order
314	3	0	uncertainty
315	3	1	work
316	3	0	freedom caucus
317	3	0	gerrymander
318	3	0	house of representatives
319	3	1	jobs
320	3	0	executive order
321	3	0	internet user
322	3	0	sensitive information
323	3	0	internet history
324	3	0	federal communications commission
325	3	0	virtual private network
326	3	0	consumer permission
327	3	0	coal miners
328	3	0	environmental regulation
329	3	0	Middle-Eastern countries
330	3	0	emergency stay
331	3	0	our country
332	3	0	refugees
333	3	0	travel ban
334	3	0	japan
335	3	0	navarro
336	3	0	trade deficit
337	3	0	trading partners
338	3	0	military action
339	3	0	missile
340	3	0	north korea
341	3	0	nuclear testing
342	3	0	rex tillerson
343	3	0	south korea
344	3	0	threats
345	3	0	christopher steele
346	3	0	fbi
347	3	0	kremlin election involvement
348	3	0	mickhail kulagin
349	3	0	bankruptcy
350	3	0	bill
351	3	0	healthcare
352	3	0	reform
353	3	0	foreign country
354	3	0	lawful resistriction
355	3	0	public safety
356	3	0	travel
357	3	0	united states
358	3	0	american healthcare act
359	3	0	deductibles
360	3	0	premiums
361	3	0	repeal and replace
362	3	0	ryan
363	3	1	construction
364	3	1	cost
365	3	0	department of homeland security
366	3	0	U.S.MexicoBorder
367	3	1	community
368	3	0	small business
369	3	0	small business confidence
370	3	0	affordable care act
371	3	0	regulations
372	3	0	small business community
373	3	0	united states economy
374	3	0	tax overhaul
375	4	1	administration
376	4	0	american energy
377	4	0	bank
378	4	0	barack obama
379	4	0	border
380	4	0	bridge
381	4	2	business
382	4	0	campaign
383	4	0	climate change
384	4	1	congress
385	4	1	conservative
386	4	0	democracy
387	4	0	democrat
388	4	0	democratic party
389	4	0	economy
390	4	0	election
391	4	0	energy
392	4	0	environment
393	4	0	government
394	4	0	hack
395	4	0	hillary clinton
396	4	0	house republican
397	4	0	immigrant
398	4	0	immigration
399	4	0	intelligence agency
400	4	0	keystone pipeline
401	4	0	lawmaker
402	4	0	leader
403	4	0	legislation
404	4	0	media
405	4	0	mexico
406	4	0	money
407	4	0	moscow
408	4	1	obamacare
409	4	0	party
410	4	0	power
411	4	0	presidency
412	4	0	president
413	4	0	president elect
414	4	0	regulation
415	4	1	republican
416	4	0	republican lawmakers
417	4	0	republican leaders
418	4	0	restriction
419	4	0	russia
420	4	0	russian
421	4	0	sanction
422	4	0	secretary
423	4	0	tax break
424	4	0	terrorist
425	4	0	transition staff
426	4	0	transpacifict partnership
427	4	0	tweet
428	4	0	twitter
429	4	0	vladimir putin
430	4	0	vote
431	4	0	voter
432	4	0	wall
433	4	0	war
434	4	0	washington
435	4	0	white house
436	4	0	hiring freeze
437	4	0	job
438	4	0	order
439	4	0	uncertainty
440	4	0	work
441	4	0	freedom caucus
442	4	0	gerrymander
443	4	0	house of representatives
444	4	0	jobs
445	4	0	executive order
446	4	0	internet user
447	4	0	sensitive information
448	4	0	internet history
449	4	0	federal communications commission
450	4	0	virtual private network
451	4	0	consumer permission
452	4	0	coal miners
453	4	0	environmental regulation
454	4	0	Middle-Eastern countries
455	4	0	emergency stay
456	4	0	our country
457	4	0	refugees
458	4	0	travel ban
459	4	0	japan
460	4	0	navarro
461	4	0	trade deficit
462	4	0	trading partners
463	4	0	military action
464	4	0	missile
465	4	0	north korea
466	4	0	nuclear testing
467	4	0	rex tillerson
468	4	0	south korea
469	4	0	threats
470	4	0	christopher steele
471	4	0	fbi
472	4	0	kremlin election involvement
473	4	0	mickhail kulagin
474	4	0	bankruptcy
475	4	0	bill
476	4	0	healthcare
477	4	4	reform
478	4	0	foreign country
479	4	0	lawful resistriction
480	4	0	public safety
481	4	0	travel
482	4	0	united states
483	4	0	american healthcare act
