	word	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI39
0	administration	3	0	1	1	1	0	0	0	0	1	2	2	1	2	1	0	3	1	2	3	1	0	1	3	4	4	0	2	1	0	4	1	2	1	0	0	2	0
1	american energy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	bank	0	0	0	0	0	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
3	barack obama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	border	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	8	1	0	0	0	0	0	1	0	0	0	0	9	0	0	2	0	0	0	0	0
5	bridge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	business	0	0	0	2	0	1	1	1	1	0	0	0	0	8	0	1	0	0	3	0	0	0	1	0	2	0	0	0	0	0	2	7	0	0	0	0	0	0
7	campaign	0	0	0	0	2	0	0	1	2	1	1	0	0	3	0	3	2	2	8	0	0	3	1	0	4	4	0	1	0	3	0	0	2	0	0	0	1	0
8	climate change	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	congress	0	0	2	1	0	0	0	2	2	0	0	1	0	0	3	0	1	1	0	2	0	0	0	0	1	2	0	0	0	4	0	0	3	0	0	0	0	0
10	conservative	0	0	0	1	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1
11	democracy	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	democrat	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
13	democratic party	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	economy	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	2	0	1	3	1	0	1	0	0	0
15	election	0	0	0	0	0	0	0	0	1	0	2	0	2	5	0	0	5	0	1	0	2	6	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0
16	energy	10	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	8	11	0	0	10	2	0	0	6	0	0	0	0	0	0	0	0	0	0
17	environment	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18	government	0	0	2	0	2	0	0	0	3	0	0	2	1	8	4	2	3	2	2	0	0	0	0	0	4	2	0	1	0	3	0	0	2	0	0	2	3	0
19	hack	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	hillary clinton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	house republican	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	immigrant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	immigration	0	0	2	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
24	intelligence agency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	keystone pipeline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	lawmaker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	leader	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	3	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2
28	legislation	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
29	media	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
30	mexico	0	0	1	0	0	0	9	4	0	0	0	0	0	1	1	0	5	3	1	0	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	0	1	0
31	money	0	0	2	0	0	2	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
32	moscow	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
33	obamacare	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0
34	party	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	4	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	3	0	0	0
35	power	5	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0	5	4	1	0	0	5	0	3	0	6	0	0	0	0	4	0	3	0	0	0
36	presidency	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	president	3	2	1	0	3	3	4	2	0	3	6	2	9	13	2	0	6	2	2	2	5	6	7	3	54	7	5	3	3	3	0	7	1	6	1	2	2	1
38	president elect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	regulation	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
40	republican	0	1	0	1	1	0	0	1	0	1	0	2	1	0	1	0	0	2	1	0	0	4	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	3
41	republican lawmakers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	republican leaders	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	restriction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	russia	0	3	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	13	2	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0
45	russian	0	1	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	4	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
46	sanction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	secretary	1	0	2	0	1	1	0	1	1	0	0	0	1	3	0	2	0	1	0	0	1	0	0	1	5	0	18	1	1	1	1	0	0	1	0	1	0	0
48	tax break	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	terrorist	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	transition staff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	transpacifict partnership	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	tweet	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
53	twitter	0	2	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0
54	vladimir putin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
