	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
0	AmericanHealthCareAct	0	0	1	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	2	0	0	5	0	0	0	0	3
1	China	0	2	1	0	0	0	1	2	3	0	0	0	1	0	0	0	0	0	0	0	40	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	3	0	0
2	ConsumerPermission	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3	DepartmentofHomelandSecurity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0
4	EPA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	8	0	0	0	2	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0
5	FCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
6	FreedomCaucus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
7	Gerrymander	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
8	Healthcare	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	3	0	0	3	0	0	0	0	10
9	HouseofRepresentatives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
