	AbstractConcept	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
0	None	0	1	1	1	0	0	0	2	2	1	0	2	0	3	2	0	3	2	2	1	4	2	0	0	3	0	1	1	0	1	0	1	0	4	2	1	0	1	3	0
1	americanResidents	4	0	3	0	0	0	0	1	2	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2	business	0	0	0	4	0	1	2	1	15	0	0	0	3	13	0	1	0	0	3	0	1	1	1	0	15	2	0	0	1	0	2	30	0	0	1	0	0	1	0	5
3	economy	0	1	9	6	8	3	10	5	19	0	0	6	1	9	9	3	7	4	10	0	3	0	0	6	26	4	0	7	2	5	3	7	9	0	3	7	4	1	0	5
4	election	1	0	1	0	2	0	0	1	4	1	4	0	5	10	0	4	7	2	10	0	2	10	2	0	7	8	0	1	0	3	0	3	2	0	3	0	1	1	0	1
5	energy	0	1	9	0	6	0	1	7	4	1	0	0	0	0	0	0	7	0	37	21	33	0	0	33	7	4	0	30	0	3	0	1	8	0	3	0	0	0	0	0
6	foreignConcepts	5	0	4	0	1	0	4	5	0	1	0	1	0	0	1	0	2	1	1	3	9	0	0	0	2	0	1	2	0	1	11	0	2	3	0	0	5	0	0	1
7	foreignEngagements	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8	foriegnAreas	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	4	0	0	0	0	0	0
9	govAppointedRole	3	1	9	3	3	2	1	1	2	10	5	4	4	11	2	3	4	4	4	7	5	2	2	7	25	10	18	4	3	3	9	1	5	6	3	3	4	6	4	5
10	govElectedRole	17	15	3	24	14	29	19	17	12	19	21	27	38	98	15	2	45	25	26	21	18	32	29	17	86	38	5	11	7	17	2	9	14	15	18	4	14	4	4	27
11	government	5	6	6	0	3	1	0	2	5	0	2	3	4	11	5	2	6	3	8	8	15	4	3	4	14	16	5	6	6	8	1	2	11	1	1	2	5	2	0	0
12	governmentActions	3	0	4	6	4	1	6	4	9	5	3	17	3	4	5	1	8	5	8	7	2	8	1	29	110	4	10	16	9	2	0	5	3	11	8	4	2	3	25	12
13	healthcare	0	0	2	3	0	0	0	4	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5	0	0	8	0	0	0	0	13
14	internetPrivacy	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
15	japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0
16	media	0	11	0	0	0	5	4	0	0	0	1	0	13	0	5	0	0	4	0	1	0	4	11	0	2	13	0	0	0	0	0	0	0	10	8	0	0	0	0	0
17	mexico	0	2	4	1	1	0	13	11	9	0	1	1	0	2	41	0	6	31	5	0	3	1	0	3	11	0	0	0	0	39	2	1	10	0	1	0	1	0	0	1
18	nationalSecurity	5	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	20	6	0	0	0	0	0	2	0	8	0	0	13	0	0
19	northKorea	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
20	party	0	1	0	3	1	0	1	5	4	17	2	6	4	1	7	1	9	11	1	1	2	12	0	0	13	2	0	1	3	1	0	0	2	0	24	0	0	2	19	7
21	people	1	0	3	0	4	0	0	3	4	0	9	2	6	2	2	1	5	0	7	1	9	6	2	10	10	15	0	6	0	1	5	6	3	3	11	0	0	12	16	2
22	russia	0	10	0	0	0	3	0	0	0	0	28	0	33	0	0	0	0	0	0	0	0	32	4	0	2	42	0	0	0	0	0	0	0	0	0	0	0	1	0	0
23	south korea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0
