EC	Term
administration	administration
administration	administration Tuesday night
americanEnergy	american energy
americanEnergy	American energy production
AmericanHealthCareAct	American Health Care Act
AmericanHealthCareAct	AHCA
AmericanHealthCareAct	Affordable Care Act
AmericanHealthCareAct	Obama Care
AmericanHealthCareAct	Health Care Initiative
AmericanHealthCareAct	obamacare
bank	bank
bank	banks
bankruptcy	bankruptcy
barackObama	obama
barackObama	obama era
barackObama	barack Obama
barackObama	President Barack Obama
barackObama	President Obama
barackObama	President Trump
bill	bill
bill	bill funding
bill	bills
border	U.S. Mexico Border
border	border
border	borders
bridge	bridge
bridge	bridges
budgetCuts	budget cuts
budgetCuts	cuts
budgetCuts	budget proposal
business	business
business	businesses
campaign	campaign
certainMiddle-Easterncountries	certain Middle-Eastern countries
certainMiddle-Easterncountries	Syria
certainMiddle-Easterncountries	Yemen
certainMiddle-Easterncountries	Somalia
certainMiddle-Easterncountries	Iran
certainMiddle-Easterncountries	Sudan
certainMiddle-Easterncountries	Libya
christopherSteele	christopher steele
cleanEnergy	clean energy
cleanEnergy	green energy
cleanEnergy	renewable energy
climateChange	climate
climateChange	climate change
climateChange	climate change has
climateChange	Global warming
coalMiners	coal miners
confirmationHearings	confirmation hearings
congress	congress
congress	support Congress
conservative	conservative
conservative	conservatives
construction	construction
ConsumerPermission	consumer rights
ConsumerPermission	consumer permission
cost	cost
cost	costs
cost	expenses
cost	price
cost	price tag
deductibles	deductibles
democracy	democracy
democrat	democrat
democrat	Democrats
democrat	Democrats intent
democraticParty	democratic party
DepartmentofHomelandSecurity	DHS
DepartmentofHomelandSecurity	Department of Homeland Security
domesticSecurity	domestic security
domesticSecurity	FBI
domesticSecurity	Defense Department
domesticSecurity	Department of Homeland Security
economy	united states economy
economy	national economy
economy	economy
economy	economies
election	election
election	elections
emergencyStay	emergency stay
emergencyStay	nationwide stay
emergencyStay	temporary restraining order
energy	energy
environment	environmental
environment	environment
environmentalRegulation	environmental regulation
environmentalRegulation	Natural Resources Law
environmentalRegulation	Environmental Law
EPA	EPA
EPA	Clean Power Plan
EPA	Environmental Protection Agency
EPA	environmental policy
executiveOrder	executive order
executiveOrder	order
executiveOrder	executive orders
FCC	FCC
FCC	Federal Communications Commission
filibuster	filibuster
foreignAid	foreign aid
foreignCountry	foreign country
FreedomCaucus	freedom caucus
freeTrade	free trade
Gerrymander	gerrymander
gorsuch	gorsuch
government	government
government	governments
hack	hack
hack	hacks
Healthcare	Healthcare
Healthcare	Healthcare Initiative
healthcare	health care
hillaryClinton	hillary clinton
hillaryClinton	candidate Hillary Clinton
hillaryClinton	Clinton-concept
hillaryClinton	nominee Hillary Clinton
hiringFreeze	hiring freeze
HouseofRepresentatives	house of representatives
houseRepublican	house Republican
houseRepublican	GOP
houseRepublican	House GOP
houseRepublican	house Republicans
immigrant	immigrant
immigrant	aliens
immigrant	immigrants
immigration	immigration
intelligenceAgency	intelligence agency
intelligenceAgency	intelligence agencies
InternetHistory	internet history
InternetHistory	search history
InternetHistory	web browsing history
InternetUser	User
InternetUser	Consumer
InternetUser	Customer
InternetUser	Internet User
ISP	ISP
ISP	Provider
ISP	Internet Service Provider
ISP	Comcast
Japan	japan
jobs	jobs
jobs	job
keystonePipeline	keystone pipeline
keystonePipeline	Keystone XL pipeline
kremlinElectionInvolvement	kremlin election involvement
lawfulRestriction	lawful restriction
lawmaker	lawmake
lawmaker	lawmakers
lawmaker	profile lawmakers
leader	leader
leader	leaders
legislation	legislation
media	media
mexico	mexico
mexico	country Mexico
mexico	force Mexico
mickhailKulagin	mickhail kulagin
militaryAction	military action
Missile	missile
missile	missiles
money	money
money	block money
money	funding
money	funding package
money	funds
money	spread money
moscow	moscow
Navarro	navarro
northKorea	north korea
nuclearTesting	nuclear testing
parisAccord	Paris Climate Agreement
parisAccord	Paris Accord
parisAccord	Paris agreement
parisAccord	Paris climate-change commitments
parisAccord	Paris deal
parisAccord	Paris pledges
party	party
party	parties
power	power
power	powers
premiums	premiums
presidency	presidency
president	president
president	donald trump
president	trump
president	Pres
president	presidents
president	presidents face
presidentElect	president elect
presidentElect	President-elect
presidentElect	President-elect plans
presidentElect	Republican president-elect
presidentElect	soon-to-be-president
protectionism	protectionism
publicSafety	threat
publicSafety	public safety
reform	reform
refugees	refugees
regulation	regulation
regulation	policy
regulation	policies
regulation	Finalized regulations
regulation	regulations
repealAndReplace	repeal and replace
republican	republican
republican	fellow Republicans
republican	Republicans
republicanLawmakers	replican lawmakers
republicanLawmakers	GOP lawmakers
republicanLawmakers	Republican lawmakers
republicanLeaders	republican leaders
restriction	restriction
restriction	restrictions
RexTillerson	rex tillerson
russia	russia
russia	evidence Russia
russia	Russia wasn
russian	russian
russian	Russians
Ryan	ryan
sanction	sanction
sanction	Friday Sanctions
sanction	sanctions
secretary	secretary
senateRule	senate
senateRule	senate rule
SensitiveInformation	sensitive information
smallBusinessCommunity	all 11 executives
smallBusinessCommunity	small city executive
smallBusinessCommunity	owner automotive parts assembler
smallBusinessCommunity	president local car dealership
smallBusinessCommunity	small business owner
smallBusinessCommunity	head of seating manufacturer
smallBusinessCommunity	small business community
smallBusinessCommunity	trucking company president
smallBusinessConfidence	Small business confidence
smallBusinessConfidence	tremendous dark cloud lifting
smallBusinessConfidence	exuberance
smallBusinessConfidence	bull
smallBusinessConfidence	confidence
smallBusinessConfidence	eurphoria
smallBusinessConfidence	gut just feels better
smallBusinessConfidence	confident
smallBusinessConfidenceIndex	Small business confidence index
smallBusinessConfidenceIndex	indicator
smallBusinessConfidenceIndex	gauge
smallBusinessConfidenceIndex	huge spike
southKorea	south korea
supremeCourt	supreme court
tariff	tariff
tariff	tariffs
taxBreak	low tax
taxBreak	tax break
taxBreak	tax overhaul
taxBreak	tax breaks
terrorist	terrorist
terrorist	terrorists
threats	threats
tradeDeficit	trade deficit
tradingPartners	trading partners
transitionStaff	transition staff
transitionStaff	transition team
transitionStaff	Trump transition
transitionStaff	Trump transition team
transPacificPartnership	trans pacific partnership
transPacificPartnership	TPP
transPacificPartnership	Trans-Pacific Partnership
transPacificPartnership	Trans-Pacific Partnership negotiations
travel	travel
Travelban	travel ban
tweet	tweet
tweet	tweet Friday morning
tweet	tweeted
tweet	tweeted praise
tweet	Twitter post
twitter	twitter
U.S.Mexicoborder	U.S. Mexico border
uncertainty	uncertainty
unitedStates	United States
unitedStates	Our Country
unitedStates	America
unitedStates	America Great
unitedStates	United States exits
vladimirPutin	vladimir putin
vladimirPutin	Mr Putin
vladimirPutin	Putin
vote	vote
vote	votes
voter	voter
voter	American voter
voter	elections voters
voter	voters
VPN	VPN
VPN	Virtual Private Network
wall	wall
wall	fence
wall	border wall
wall	barrier
wall	Great Wall
wall	walls
war	war
war	warfare
washington	washington
washington	DC
whiteHouse	white house
whiteHouse	Trump Administration
work	work
work	works
