Word_Count	AbstractConcept	EC	Term
3	russia	kremlinElectionInvolvement	kremlin election involvement
1	russia	kremlinElectionInvolvement	kremlin
2	russia	kremlinElectionInvolvement	Kremlin involvement
1	russia	kremlinElectionInvolvement	investigation
2	foreignEngagements	nuclearTesting	nuclear testing
3	healthcare	repealAndReplace	repeal and replace
1	healthcare	repealAndReplace	repeal
1	nationalSecurity	threats	threats
1	nationalSecurity	threats	threat
2	people	christopherSteele	christopher steele
2	business	ConsumerPermission	consumer rights
2	business	ConsumerPermission	consumer permission
2	foreignConcepts	foreignCountry	foreign country
2	economy	hiringFreeze	hiring freeze
3	govElectedRole	HouseofRepresentatives	house of representatives
2	govElectedRole	HouseofRepresentatives	The House
2	govElectedRole	HouseofRepresentatives	U.S. House
2	foriegnAreas	lawfulRestriction	lawful restriction
2	people	mikhailKulagin	mikhail kulagin
1	people	mikhailKulagin	kulagin
2	foreignEngagements	militaryAction	military action
2	people	RexTillerson	rex tillerson
1	people	RexTillerson	tillerson
2	foriegnAreas	tradingPartners	trading partners
2	foreignConcepts	foreignAid	foreign aid
1	election	Gerrymander	gerrymander
2	internetPrivacy	InternetHistory	internet history
2	internetPrivacy	InternetHistory	search history
3	internetPrivacy	InternetHistory	web browsing history
1	healthcare	premiums	premiums
1	foreignConcepts	protectionism	protectionism
1	nationalSecurity	terrorist	terrorist
1	nationalSecurity	terrorist	terrorists
2	foriegnAreas	Travelban	travel ban
3	mexico	USMexicoborder	U.S. Mexico border
1	business	bankruptcy	bankruptcy
2	governmentActions	confirmationHearings	confirmation hearings
2	governmentActions	confirmationHearings	confirmation hearing
1	healthcare	deductibles	deductibles
2	None	emergencyStay	emergency stay
2	None	emergencyStay	nationwide stay
3	None	emergencyStay	temporary restraining order
1	governmentActions	filibuster	filibuster
1	foriegnAreas	refugees	refugees
3	foreignConcepts	transPacificPartnership	trans pacific partnership
1	foreignConcepts	transPacificPartnership	TPP
2	foreignConcepts	transPacificPartnership	Trans-Pacific Partnership
3	foreignConcepts	transPacificPartnership	Trans-Pacific Partnership negotiations
1	internetPrivacy	VPN	VPN
3	internetPrivacy	VPN	Virtual Private Network
1	foreignConcepts	travel	travel
2	economy	coalMiners	coal miners
1	governmentActions	democracy	democracy
2	party	democraticParty	democratic party
1	nationalSecurity	missile	missile
1	nationalSecurity	missile	missiles
2	govElectedRole	republicanLawmakers	republican lawmakers
2	govElectedRole	republicanLawmakers	GOP lawmakers
2	govElectedRole	republicanLawmakers	Republican lawmakers
2	govElectedRole	republicanLeaders	republican leaders
2	internetPrivacy	SensitiveInformation	sensitive information
4	business	smallBusinessConfidenceIndex	Small business confidence index
1	business	smallBusinessConfidenceIndex	indicator
1	business	smallBusinessConfidenceIndex	gauge
2	business	smallBusinessConfidenceIndex	huge spike
1	None	bridge	bridge
1	None	bridge	bridges
1	government	DepartmentofHomelandSecurity	DHS
4	government	DepartmentofHomelandSecurity	Department of Homeland Security
2	energy	environmentalRegulation	environmental regulation
3	energy	environmentalRegulation	Natural Resources Law
2	energy	environmentalRegulation	Environmental Law
2	foreignConcepts	freeTrade	free trade
1	internetPrivacy	hack	hack
1	internetPrivacy	hack	hacks
1	internetPrivacy	ISP	ISP
1	internetPrivacy	ISP	Provider
3	internetPrivacy	ISP	Internet Service Provider
1	internetPrivacy	ISP	Comcast
2	energy	cleanEnergy	clean energy
2	energy	cleanEnergy	green energy
2	energy	cleanEnergy	renewable energy
1	government	FCC	FCC
3	government	FCC	Federal Communications Commission
1	governmentActions	legislation	legislation
1	russia	sanction	sanction
2	russia	sanction	Friday Sanctions
1	russia	sanction	sanctions
3	business	smallBusinessCommunity	all 11 executives
3	business	smallBusinessCommunity	small city executive
4	business	smallBusinessCommunity	owner automotive parts assembler
4	business	smallBusinessCommunity	president local car dealership
3	business	smallBusinessCommunity	small business owner
4	business	smallBusinessCommunity	head of seating manufacturer
3	business	smallBusinessCommunity	small business community
3	business	smallBusinessCommunity	trucking company president
1	internetPrivacy	InternetUser	User
1	internetPrivacy	InternetUser	Consumer
1	internetPrivacy	InternetUser	Customer
2	internetPrivacy	InternetUser	Internet User
1	None	restriction	restriction
1	None	restriction	restrictions
1	foreignEngagements	war	war
1	foreignEngagements	war	warfare
2	govElectedRole	FreedomCaucus	freedom caucus
2	energy	keystonePipeline	keystone pipeline
3	energy	keystonePipeline	Keystone XL pipeline
1	people	Navarro	navarro
1	None	uncertainty	uncertainty
2	economy	budgetCuts	budget cuts
1	economy	budgetCuts	cuts
2	economy	budgetCuts	budget proposal
3	foriegnAreas	certainMiddle-Easterncountries	certain Middle-Eastern countries
1	foriegnAreas	certainMiddle-Easterncountries	Syria
1	foriegnAreas	certainMiddle-Easterncountries	Yemen
1	foriegnAreas	certainMiddle-Easterncountries	Somalia
1	foriegnAreas	certainMiddle-Easterncountries	Iran
1	foriegnAreas	certainMiddle-Easterncountries	Sudan
1	foriegnAreas	certainMiddle-Easterncountries	Libya
2	people	hillaryClinton	hillary clinton
3	people	hillaryClinton	candidate Hillary Clinton
1	people	hillaryClinton	Clinton-concept
3	people	hillaryClinton	nominee Hillary Clinton
1	japan	Japan	japan
1	govElectedRole	presidency	presidency
1	nationalSecurity	publicSafety	threat
2	nationalSecurity	publicSafety	public safety
2	foreignConcepts	tradeDeficit	trade deficit
1	russia	moscow	moscow
2	govAppointedRole	transitionStaff	transition staff
2	govAppointedRole	transitionStaff	transition team
2	govAppointedRole	transitionStaff	Trump transition
3	govAppointedRole	transitionStaff	Trump transition team
2	energy	americanEnergy	american energy
3	energy	americanEnergy	american energy production
1	americanResidents	immigrant	immigrant
1	americanResidents	immigrant	aliens
1	americanResidents	immigrant	immigrants
2	economy	taxBreak	low tax
2	economy	taxBreak	tax break
2	economy	taxBreak	tax overhaul
2	economy	taxBreak	tax breaks
2	government	intelligenceAgency	intelligence agency
2	government	intelligenceAgency	intelligence agencies
3	government	intelligenceAgency	central intelligence agency
1	government	intelligenceAgency	CIA
1	govElectedRole	lawmaker	lawmaker
1	govElectedRole	lawmaker	lawmakers
2	govElectedRole	lawmaker	profile lawmakers
1	media	media	media
2	south korea	southKorea	south korea
1	people	gorsuch	gorsuch
1	foreignConcepts	tariff	tariff
1	foreignConcepts	tariff	tariffs
1	media	twitter	twitter
1	americanResidents	voter	voter
2	americanResidents	voter	American voter
2	americanResidents	voter	elections voters
1	americanResidents	voter	voters
1	foreignConcepts	immigration	immigration
1	people	Ryan	ryan
1	media	tweet	twitter
1	media	tweet	tweet
3	media	tweet	tweet Friday morning
1	media	tweet	tweeted
2	media	tweet	tweeted praise
2	media	tweet	Twitter post
3	foreignConcepts	parisAccord	Paris Climate Agreement
2	foreignConcepts	parisAccord	paris accord
