	DSInum	term_freq	word
0	24	3	administration
1	24	0	americanEnergy
2	24	0	bank
3	24	0	barackObama
4	24	0	border
5	24	0	bridge
6	24	0	business
7	24	0	campaign
8	24	0	climateChange
9	24	0	congress
10	24	0	conservative
11	24	0	democracy
12	24	0	democrat
13	24	0	democraticParty
14	24	0	economy
15	24	0	election
16	24	10	energy
17	24	1	environment
18	24	0	government
19	24	0	hack
20	24	0	hillaryClinton
21	24	0	houseRepublican
22	24	0	immigrant
23	24	0	immigration
24	24	0	intelligenceAgency
25	24	0	keystonePipeline
26	24	0	lawmaker
27	24	0	leader
28	24	0	legislation
29	24	0	media
30	24	0	mexico
31	24	0	money
32	24	0	moscow
33	24	0	obamacare
34	24	0	party
35	24	5	power
36	24	0	presidency
37	24	3	president
38	24	0	presidentElect
39	24	2	regulation
40	24	0	republican
41	24	0	republicanLawmakers
42	24	0	republicanLeaders
43	24	0	restriction
44	24	0	russia
45	24	0	russian
46	24	0	sanction
47	24	1	secretary
48	24	0	taxBreak
49	24	0	terrorist
50	24	0	transitionStaff
51	24	0	transPacificPartnership
52	24	0	tweet
53	24	0	twitter
54	24	0	vladimirPutin
55	24	0	vote
56	24	0	voter
57	24	0	wall
58	24	1	war
59	24	0	washington
60	24	0	whiteHouse
61	24	0	hiring
62	24	0	freeze
63	24	2	job
64	24	8	order
65	24	0	uncertainty
66	24	1	work
67	24	1	Freedom
68	24	0	Caucus
69	24	0	Gerrymander
70	24	3	House
71	24	0	of
72	24	0	Reresentatives
73	24	1	jobs
74	24	5	executive
75	24	8	order
76	24	0	Internet
77	24	0	Service
78	24	0	Provider
79	24	0	Internet
80	24	0	User
81	24	0	Sensitive
82	24	0	Information
83	24	0	Internet
84	24	0	History
85	24	4	Federal
86	24	0	Communications
87	24	0	Commission
88	24	0	FCC
89	24	1	rules
90	24	0	Advertiser
91	24	0	Health
92	24	0	Information
93	24	0	Advocates
94	24	0	Virtual
95	24	0	Private
96	24	0	Network
97	24	0	Consumer
98	24	0	Permission
99	24	4	coal
100	24	2	miners
101	24	5	environmental
102	24	2	regulation
103	24	0	certain
104	24	0	Middle-Eastern
105	24	0	countries
106	24	0	emergency
107	24	0	stay
108	24	0	our
109	24	0	country
110	24	0	refugees
111	24	0	Travel
112	24	0	ban
113	24	0	Japan
114	24	0	Navarro
115	24	0	trade
116	24	0	deficit
117	24	0	trading
118	24	0	partners
119	24	0	Military
120	24	3	action
121	24	0	Missile
122	24	0	North
123	24	0	Korea
124	24	0	nuclear
125	24	0	testing
126	24	0	Rex
127	24	0	Tillerson
128	24	0	South
129	24	0	Korea
130	24	0	threats
131	24	0	christopher
132	24	0	steele
133	24	0	fbi
134	24	0	kremlin
135	24	0	election
136	24	0	involvement
137	24	0	mickhail
138	24	0	kulagin
139	24	0	bankruptcy
140	24	0	bill
